Component Count:,54,,,,,,,,,
,,,,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,JLCPCBPRT#,Digi-Key PRT#,SparkFun,Mouser PRT #,Purchase Link
,,,,,,,,,,
"C1, ",1,4.7nF,C,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,Unpolarized capacitor,,,,,
,,,,,,,,,,
"C2, ",1,100nF,C,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,Unpolarized capacitor,,,,,
,,,,,,,,,,
"C3, C4, C5, C6, C7, C8, ",6,0.1uF,C,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,Unpolarized capacitor,,,,,
,,,,,,,,,,
"C9, ",1,22uF,C,Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,Unpolarized capacitor,,,,,
,,,,,,,,,,
"D1, D8, D11, ",3,LED_Filled,LED_Filled,LED_SMD:LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,"Light emitting diode, filled shape",,,,,
,,,,,,,,,,
"D2, D9, D10, ",3,RED,LED_Small_Filled,LED_SMD:LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,"Light emitting diode, small symbol, filled shape",,,,,
,,,,,,,,,,
"D3, ",1,GREEN,LED_Small_Filled,LED_SMD:LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder,"Light emitting diode, small symbol, filled shape",,,,,
,,,,,,,,,,
"D7, ",1,DIODE,DIODE,Diode_SMD:D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,"Diode, anode on pin 1, for simulation only!",,,,,
,,,,,,,,,,
"J1, ",1,Conn_02x20_Odd_Even,Conn_02x20_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,"Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",C124383,,,,
,,,,,,,,,,
"J2, ",1,Conn_01x06,Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",C56816,,,,
,,,,,,,,,,
"J3, ",1,Conn_01x06,Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",C37208,,,,
,,,,,,,,,,
"J4, ",1,Conn_01x04,Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",C492403,,,,
,,,,,,,,,,
"J5, J6, J7, ",3,Conn_01x02,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",C358684,,,,
,,,,,,,,,,
"J8, ",1,Conn_01x04,Conn_01x04,Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",C492403,,,,
,,,,,,,,,,
"R1, R2, ",2,60,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R3, R4, ",2,10K,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R5, R6, ",2,10k,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R7, R8, ",2,330,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R12, ",1,470,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R13, ",1,270,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R14, R15, R16, ",3,1k,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"R17, ",1,100,R,Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,Resistor,,,,,
,,,,,,,,,,
"SW1, ",1,SW_SPST,SW_SPST,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,Single Pole Single Throw (SPST) switch,C426027,,,,
,,,,,,,,,,
"TP1, TP2, TP3, TP4, TP5, TP7, TP8, TP10, TP11, ",9,TestPoint,TestPoint,TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,test point,5003,,,,
,,,,,,,,,,
"U1, ",1,PIC18F27Q84-E/SP,PIC18F27Q84-E{slash}SP,footprintsSP:PIC18F27Q84-E&slash_SP,,,,,,
,,,,,,,,,,
"U2, ",1,SHT40-AD1B-R2,SHT40-AD1B-R2,tem_sensor:SHT40-AD1B-R2,,  ,1649-SHT40I-AD1B-R2TR-ND,,,https://www.digikey.com/en/products/detail/sensirion-ag/SHT40I-AD1B-R2/15792562?utm_adgroup=Essen%20Deinki&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_DK%2BSupplier_Other&utm_term=&utm_content=Essen%20Deinki&gclid=Cj0KCQjw6pOTBhCTARIsAHF23fL7j1gkFE8v3H_vhJL_auJPnDxXhcv0wKTfXeX8pizcd5POhWKrSNgaAqrvEALw_wcB
,,,,,,,,,,
"U3, ",1,ATA6560-GAQW-VAO,ATA6560-GAQW-VAO,CAN_footprint:ATA6560-GAQW-VAO,,,,,,
,,,,,,,,,,
"U4, ",1,MS580502BA01-50,MS580502BA01-50,MS5805:MS580502BA01-50,,,,,824-MS580502BA01-50,https://www.mouser.com/ProductDetail/Measurement-Specialties/MS580502BA01-50?qs=ZSTLft15nNCijUTmbpZ1Dg%3D%3D
,,,,,,,,,,
"U5, ",1,TMP75CIDGKT,TMP75CIDGKT,TEM_S:TMP75CIDGKT,,,,PRT - 14417,,https://www.sparkfun.com/products/14417
,,,,,,,,,,
Other Sensor,50251,,TMP 117 (Qwiic),uses PRT U5 to connect,,,,SEN-15805 RHOS,,https://www.sparkfun.com/products/15805
